You are given recent context from a technical paper and the beginning of a LaTeX display equation.
Continue the equation from exactly where it stops, in about 210 characters or fewer.
Write only the continuation. Do not write explanatory prose. Do not write \end{gather}.

Recent paper context:
d back reaction constraints. This, in turn, may explain which compactifications support the multi-branch structure characteristic of first-order phase transitions in the Efimov regime, and when the dynamics instead collapse to a single smooth branch. Such a link would provide a more complete picture of how confining holographic dynamics and axion-induced phase transitions arise from higher-dimensional geometry and topology.


	\subsection*{Bulk axions, brane-induced phase structures and a Vafa-Witten-like theorem}


	The phase diagrams we have found here, as well as previous works, \cite{Ha1, Ha2}, contain important ``holes". These appear in two contexts, but their significance is similar.

	The first, explained in section \ref{FEP}, involves the confining holographic theories without the axion. In that case, we have found that there is a small range of the parameter $b$ controlling
	the large field asymptotics of the potential, around the end of the Efimov regime,  for which, during the transition, the free-energy is discontinuous. This is shown in Figure \ref{below}.  This behavior is unphysical, and in most cases,
	it suggests that other relevant phases that should dominate in this regime are missing.

	This can happen in holographic theories if one truncates the low-energy spectrum of operators.
	What can happen in such cases is a scalar that is zero in the initial solution (having zero source), turns on because of a vev, and this new solution may be dominant.
	Multiple examples of this exist in holography.

	However, in this particular case, it is difficult to see what can be another field whose dual operator should obtain an expectation value. In YM-like theories, the only other relevant scalar operator is the topological density, but in QFT, there is the Vafa-Witten theorem that forbids such a vev, \cite{vw}.

	We have indicated in section \ref{VW} that a similar theorem (the holographic Vafa-Witten theorem) can hold in holographic solutions, modulo some caveats associated with D-instantons.
	It is similarly unlikely that the energy-momentum tensor obtains a vev, as it would break Lorentz invariance in the ground state of the theory.

	There is a second possibility: that this range of $b$ is in the ``swampland". The simplest  compactification  from higher dimensions, \cite{GK},
	on a single $S^n$ indicates that one obtains a potential for the scale factor that has
	\be
	b=\sqrt{\frac{n+d-1}{2n(d-1)}}\,.
	\ee
	The Efimov bound corresponds to $n+d=9$. The values of $b$ that are problematic correspond to $n= 6$ ($b=0.5$) and $n=5$ ($b=2/\sqrt{5}$), which would imply a 10 or 11-dimensional origin for the IR limit of the potential.
	These cases are summarized in figures \ref{bzaxc} and \ref{bzax}.
	However, it is not clear that an $S^6$ compactification of M-theory exists that will provide a potential with similar characteristics as the one we are using.
	The previous argument has many loopholes, and further analysis is needed in order to be convinced of its relevance.



	A similar phenomenon happens in the presence of non-trivial axion solutions. It has been observed in  \cite{Ha1,Ha2},
	that the space of UV axion sources ($\theta$-angles) is compact, although in field theory and in the large $N_c$ limit, it can take all real values.
	In \cite{Ha1} the following inequality was shown
	\be
	|a_{\textrm{UV}}|\leq \int_0^{\infty}\frac{d\f }{ \sqrt{Y(\f)}}\,,
	\ee
	which implies $|a_{\textrm{UV}}|\leq \frac{2}{\gamma\sqrt{Y_0}}$ for $Y=Y_0\; e^{\g \f}$.
	This upper bound is also confirmed in all solutions obtained in this paper.
	However, we expect that axionic solutions should not have an upper bound on the source.
	This is certainly linked to the fact that in several situations, we found phase transitions
	at finite axion density, where again the free energy is discontinuous, as discussed in section \ref{FEP}.

	However, in the axion case, there is a new possibility that will provide novel solutions.
	A natural extension is the inclusion of branes in the bulk, which act as localized sources for the charge dual to the axion shift symmetry.
